"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Bandipur","tnx",0.000624685504898059,0.195179953438583
"Bandipur","dtr",-0.000903664860659292,0.0278113599966424
"Bandipur","rx1day",0.000790114968685409,0.679722163146297
"Bandipur","rx5day",-0.000932142205927048,0.827127802126693
"Bareng","tx10p",-0.000337851708607503,0.00177415173087293
"Bareng","tx90p",0,0.0194282453101568
"Bareng","tn90p",0.00435125684237492,8.2800620998325e-14
"Bareng","txx",0.00023677175273865,0.591582192936036
"Bareng","txn",0.000504052782491718,0.251683359695248
"Bareng","tnn",0.00112900704172378,0.169650500236577
"Bareng","tnx",0.000781368355629878,0.047271165091701
"Bareng","dtr",-0.000839743520202021,0.0457327828383978
"Bareng","rx1day",-0.000641569851146532,0.798785336188557
"Bareng","rx5day",-0.00240001229181173,0.67009198858168
"Barhagaun.Muktikhsetra","tx10p",-0.004444444444,3.99657842635448e-09
"Barhagaun.Muktikhsetra","tx90p",0,6.05606733523532e-13
"Barhagaun.Muktikhsetra","tn90p",0.000323876147590362,8.13620386778815e-16
"Barhagaun.Muktikhsetra","txx",0.0020646379139156,0.00310000844326074
"Barhagaun.Muktikhsetra","txn",0.00172094506459072,0.0839849511538992
"Barhagaun.Muktikhsetra","tnn",0.00132972970034247,0.214323708191394
"Barhagaun.Muktikhsetra","tnx",0.00188724824542441,0.00500226269781164
"Barhagaun.Muktikhsetra","dtr",0.000304247473681847,0.236063367958048
"Barhagaun.Muktikhsetra","rx1day",-0.000965786085823542,0.390670459897763
"Barhagaun.Muktikhsetra","rx5day",-0.00287023069809627,0.274659036240745
"Beni","tx10p",-0.00560770119647417,9.23694745654063e-09
"Beni","tx90p",0,1.99648261345061e-06
"Beni","tn90p",0.00573497698634445,1.24008091904291e-20
"Beni","txx",0.000397362814009659,0.317522755800849
"Beni","txn",0.000873956727988594,0.0559266890129286
"Beni","tnn",0.00125887866101916,0.184098867606359
"Beni","tnx",0.00117629605669532,0.0063845559622867
"Beni","dtr",-0.000746430257420133,0.0879122634000455
"Beni","rx1day",-0.000711460535564546,0.762232349823778
"Beni","rx5day",-0.00313428718616335,0.548573710101703
"Besishahar","tx10p",-0.00198873506372394,6.25408902724939e-06
"Besishahar","tx90p",0,0.00278493361830328
"Besishahar","tn90p",0.005376344085,3.62994388376278e-11
"Besishahar","txx",6.03729628511253e-05,0.869145617472614
"Besishahar","txn",0.000528208219121117,0.197904297131899
"Besishahar","tnn",0.000995823638245421,0.264826595268362
"Besishahar","tnx",0.000780436954086409,0.0744655760683682
"Besishahar","dtr",-0.00086922611323877,0.0216027766627532
"Besishahar","rx1day",0.00422669254237069,0.207533283761053
"Besishahar","rx5day",0.00681202144703705,0.415110771747956
"Bhanu","tx10p",-0.000381494355579891,0.000703311253968369
"Bhanu","tx90p",0,0.313736714462055
"Bhanu","tn90p",0.00464931268737453,1.0104277049111e-08
"Bhanu","txx",0.00010087865870214,0.829650636803616
"Bhanu","txn",0.000311440199811941,0.445380108972166
"Bhanu","tnn",0.00103892520460558,0.180761663498568
"Bhanu","tnx",0.000527503004481386,0.250156337418718
"Bhanu","dtr",-0.000910073471293936,0.0286422175919386
"Bhanu","rx1day",0.00190473955509786,0.400054942658574
"Bhanu","rx5day",0.00289947202511998,0.594621090892866
"Bhimad","tx10p",0,0.00806390761906097
"Bhimad","tx90p",0,0.433180366076813
"Bhimad","tn90p",0.00109164347208122,3.75243580649546e-06
"Bhimad","txx",9.17140657484523e-05,0.857512242705848
"Bhimad","txn",0.00039643291844253,0.36946383385811
"Bhimad","tnn",0.000947535676336944,0.166440360851103
"Bhimad","tnx",0.00050473881561014,0.28677284396229
"Bhimad","dtr",-0.000616013055737212,0.145044533125249
