"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Anbukhaireni","r99p",-0.995921980434783,0.274299534161944
"Anbukhaireni","r95p",-2.61672610269576,0.183949621746182
"Anbukhaireni","wsdi",-0.0727513227513227,0.0674564319503085
"Anbukhaireni","csdi",-0.1,4.44757766729145e-06
"Anbukhaireni","sdii",-0.0356425557248467,0.0134490075254307
"Anbukhaireni","gsl",0,1
"Anbukhaireni","r10mm",-0.105661881977671,0.0785426757993472
"Anbukhaireni","r20mm",-0.0618622448979592,0.159181440980645
"Anbukhaireni","prcptot",-4.37183931548537,0.0309792959443939
"Annapurna","ice_days",-0.322478991596639,0.00150386554429397
"Annapurna","frost_days",-0.227272727272727,0.00444643226986732
"Annapurna","cdd",0.0232558139534884,0.37704576764986
"Annapurna","cwd",0,0.890099921527346
"Annapurna","r99p",-1.26622622142857,0.0695809970408885
"Annapurna","r95p",-2.03241905711575,0.171690936125938
"Annapurna","wsdi",0,0.00445598009807102
"Annapurna","csdi",-0.207221860767729,2.80940497107623e-05
"Annapurna","sdii",-0.0120842901786047,0.106433721856217
"Annapurna","gsl",0.235294117647059,0.00538371446785858
"Annapurna","r10mm",-0.133333333333333,0.0452645142328684
"Annapurna","r20mm",-0.0609152752009895,0.167866577785875
"Annapurna","prcptot",-3.53438114285714,0.0574105043761722
"Arjunchaupari","ice_days",0,NA
"Arjunchaupari","frost_days",-0.105263157894737,0.002083157543343
"Arjunchaupari","cdd",0,0.874628426561027
"Arjunchaupari","cwd",0,0.946816355614221
"Arjunchaupari","r99p",-3.15917036566023,0.0321018065528254
"Arjunchaupari","r95p",-6.07074654800665,0.0219816983124856
"Arjunchaupari","wsdi",-0.114519906323185,0.0168077137884129
"Arjunchaupari","csdi",0,0.0117679670573839
"Arjunchaupari","sdii",-0.0219053841609977,0.0909075786580637
"Arjunchaupari","gsl",0,0.786962114290314
"Arjunchaupari","r10mm",-0.0384615384615385,0.471474204829923
"Arjunchaupari","r20mm",-0.0650449497620307,0.244475643098015
"Arjunchaupari","prcptot",-5.74047442890503,0.0586713902026402
"Badigad","ice_days",0,0.122980855422317
"Badigad","frost_days",-0.2,0.00759818611741894
"Badigad","cdd",0,0.969549455351347
"Badigad","cwd",-0.133333333333333,0.347914737128419
"Badigad","r99p",0.46144109375,0.517058689951308
"Badigad","r95p",-0.165204938254716,0.920337123516097
"Badigad","wsdi",0,0.221088000997414
"Badigad","csdi",-0.139767441860465,0.000115636145112054
